,Country Name
0,"Afghanistan, Islamic Rep. of"
3,Advanced Economies
6,Angola
21,Algeria
45,Albania
5436,"Andorra, Principality of"
5917,"Armenia, Rep. of"
5920,Australia
5929,Argentina
5944,Antigua and Barbuda
6088,"Aruba, Kingdom of the Netherlands"
6189,Anguilla
12542,Bangladesh
12545,Barbados
12557,"Bahrain, Kingdom of"
12566,Austria
12581,"Azerbaijan, Rep. of"
12596,"Bahamas, The"
19285,Benin
19288,Bhutan
19306,Belize
19309,Belgium
19342,"Belarus, Rep. of"
19639,Bermuda
26304,Botswana
26307,Brazil
26319,Bulgaria
26334,Brunei Darussalam
26343,Bolivia
26376,Bosnia and Herzegovina
35799,Burkina Faso
35802,Cameroon
35808,Cabo Verde
35811,Cambodia
35829,Canada
35850,Burundi
43359,Chad
43365,Chile
43371,Central African Rep.
43389,Central African Economic and Monetary Community
43455,"China, P.R.: Hong Kong"
43476,"China, P.R.: Macao"
49525,"Congo, Rep. of"
49528,"Congo, Dem. Rep. of the"
49531,Colombia
49549,"China, P.R.: Mainland"
49555,"Comoros, Union of the"
49564,Costa Rica
55616,Cuba
55619,"Croatia, Rep. of"
55628,Côte d'Ivoire
55631,Cyprus
55766,Curaçao and Sint Maarten
55863,"Curaçao, Kingdom of the Netherlands"
60547,Dominica
60562,Dominican Rep.
60574,Djibouti
60586,Denmark
60607,Czechoslovakia
60616,Czech Rep.
66787,"Egypt, Arab Rep. of"
66790,El Salvador
66793,Emerging and Developing Asia
66799,Emerging and Developing Countries
66802,Ecuador
66817,Eastern Caribbean Currency Union (ECCU)
72685,"Estonia, Rep. of"
72691,"Equatorial Guinea, Rep. of"
72694,"Eswatini, Kingdom of"
72715,Emerging and Developing Europe
72769,"Ethiopia, The Federal Dem. Rep. of"
72787,"Eritrea, The State of"
77477,"Fiji, Rep. of"
77483,Finland
77495,France
77579,Euro Area
77698,Faroe Islands
77731,French Polynesia
83097,Germany
83100,Georgia
83103,Gabon
83112,"Gambia, The"
83145,Ghana
86354,Gibraltar
89450,Guinea
89462,Grenada
89471,Greece
89501,Guatemala
91730,Greenland
92678,Guernsey
94214,Iceland
94217,Hungary
94220,Haiti
94226,Guinea-Bissau
94244,Honduras
94298,Guyana
101978,Ireland
101981,Iraq
101987,"Iran, Islamic Rep. of"
101999,India
102023,Indonesia
106390,Isle of Man
108448,Japan
108451,Jamaica
108454,Italy
108460,Jordan
108490,Israel
113943,Jersey
115964,Kenya
115967,"Kazakhstan, Rep. of"
115970,Kuwait
115982,Kiribati
115988,"Korea, Rep. of"
115991,"Kosovo, Rep. of"
122505,Liberia
122508,Lao People's Dem. Rep.
122514,Kyrgyz Rep.
122532,"Lesotho, Kingdom of"
122547,Lebanon
122553,Latvia
128952,Lithuania
128955,Luxembourg
128961,Libya
128970,"Madagascar, Rep. of"
129006,Malawi
129012,Malaysia
136284,Malta
136287,Mauritius
136290,"Mauritania, Islamic Rep. of"
136314,Maldives
136335,Mali
136377,"Marshall Islands, Rep. of the"
142888,Mongolia
142891,"Moldova, Rep. of"
142894,Mexico
142909,"Micronesia, Federated States of"
142927,Montenegro
148399,Middle East and Central Asia
149035,"Nauru, Rep. of"
149041,Myanmar
149044,Morocco
149047,"Mozambique, Rep. of"
149077,Namibia
149197,Montserrat
155275,"Netherlands, The"
155281,New Zealand
155287,Nicaragua
155302,Nepal
155458,Netherlands Antilles
155619,New Caledonia
161420,Niger
161423,Nigeria
161438,"North Macedonia, Republic of"
161462,Norway
161501,Oman
161504,Pakistan
169555,Philippines
169558,Peru
169561,Paraguay
169570,Panama
169579,Papua New Guinea
169591,"Palau, Rep. of"
177036,Russian Federation
177042,Romania
177045,Portugal
177072,"Poland, Rep. of"
177135,Qatar
180422,Reunion
184820,Samoa
184823,Rwanda
184832,"San Marino, Rep. of"
184850,Saudi Arabia
184898,Senegal
184916,"São Tomé and Príncipe, Dem. Rep. of"
191826,Seychelles
191829,Sierra Leone
191838,Singapore
191841,"Serbia, Rep. of"
191904,Slovak Rep.
192130,"Sint Maarten, Kingdom of the Netherlands"
198292,Solomon Islands
198295,Somalia
198307,"South Sudan, Rep. of"
198316,South Africa
198322,"Slovenia, Rep. of"
198328,Spain
205965,Sub-Saharan Africa
205968,Sri Lanka
205971,St. Kitts and Nevis
205995,Sudan
206031,St. Vincent and the Grenadines
206040,St. Lucia
211399,Sweden
211405,Switzerland
211438,Syrian Arab Rep.
211441,Suriname
211456,"Tajikistan, Rep. of"
211579,Taiwan Province of China
217564,Tonga
217573,Trinidad and Tobago
217588,Togo
217600,Thailand
217606,"Tanzania, United Rep. of"
217630,"Timor-Leste, Dem. Rep. of"
225304,Uganda
225307,Tunisia
225322,Turkmenistan
225325,Tuvalu
225358,"Türkiye, Rep of"
229075,Turks and Caicos Islands
230109,Ukraine
230112,United Arab Emirates
230115,United Kingdom
230118,Uruguay
230124,"Uzbekistan, Rep. of"
230190,United States
238386,Vietnam
238392,"Venezuela, Rep. Bolivariana de"
238395,Western Hemisphere
238398,Vanuatu
238401,West African Economic and Monetary Union (WAEMU)
238551,West Bank and Gaza
243540,World
243543,"Yemen, Rep. of"
243546,Yugoslavia
243549,Zambia
243558,Yemen Arab Rep.
243606,"Yemen, People's Dem. Rep. of"
246325,Zimbabwe
